day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2019/1/6,10:00,,局部多云,-1℃,16%,轻风,东南风,2级,-,-1℃
2019/1/6,11:00,,局部多云,-1℃,15%,轻风,东南风,2级,-,-1℃
2019/1/6,12:00,,局部多云,0℃,15%,轻风,东南风,2级,-,0℃
2019/1/6,13:00,,局部多云,1℃,15%,微风,东南风,3级,-,0℃
2019/1/6,14:00,,局部多云,2℃,16%,微风,南风,3级,-,1℃
2019/1/6,15:00,,局部多云,1℃,16%,微风,南风,3级,-,0℃
2019/1/6,16:00,,局部多云,0℃,17%,微风,南风,3级,-,-1℃
2019/1/6,17:00,,局部多云,0℃,18%,微风,南风,3级,-,-2℃
2019/1/6,18:00,,局部多云,-1℃,19%,轻风,东南风,2级,-,-2℃
2019/1/6,19:00,,局部多云,-2℃,19%,轻风,东南风,2级,-,-3℃
2019/1/6,20:00,,局部多云,-3℃,20%,软风,东南风,1级,-,-3℃
2019/1/6,21:00,,局部多云,-5℃,20%,软风,东风,1级,-,-5℃
2019/1/6,22:00,,局部多云,-7℃,21%,软风,东北风,1级,-,-7℃
2019/1/6,23:00,,局部多云,-9℃,21%,软风,北风,1级,-,-9℃
2019/1/7,0:00,,多云,-2℃,24%,微风,东南风,3级,-,-3℃
2019/1/7,1:00,,多云,-2℃,25%,微风,西南风,3级,-,-4℃
2019/1/7,2:00,,多云,-2℃,27%,微风,北风,3级,-,-4℃
2019/1/7,3:00,,局部多云,-2℃,28%,微风,北风,3级,-,-4℃
2019/1/7,4:00,,多云,-2℃,30%,微风,北风,3级,-,-4℃
2019/1/7,5:00,,局部多云,-2℃,31%,和风,北风,4级,-,-4℃
2019/1/7,6:00,,局部多云,-2℃,31%,和风,北风,4级,-,-5℃
2019/1/7,7:00,,局部多云,-3℃,32%,和风,北风,4级,-,-5℃
2019/1/7,8:00,,局部多云,-3℃,32%,和风,北风,4级,-,-6℃
2019/1/7,9:00,,局部多云,-2℃,29%,清风,北风,5级,-,-5℃
2019/1/7,10:00,,局部多云,-1℃,25%,清风,北风,5级,-,-4℃
2019/1/7,11:00,,局部多云,0℃,21%,清风,北风,5级,-,-3℃
2019/1/7,12:00,,局部多云,1℃,19%,清风,北风,5级,-,-2℃
2019/1/7,13:00,,局部多云,2℃,16%,清风,北风,5级,-,-1℃
2019/1/7,14:00,,局部多云,3℃,14%,清风,西北风,5级,-,0℃
2019/1/7,15:00,,局部多云,3℃,15%,清风,西北风,5级,-,0℃
2019/1/7,16:00,,局部多云,2℃,15%,清风,西北风,5级,-,0℃
2019/1/7,17:00,,局部多云,2℃,16%,和风,西北风,4级,-,0℃
2019/1/7,18:00,,局部多云,2℃,17%,清风,西北风,5级,-,0℃
2019/1/7,19:00,,局部多云,2℃,17%,清风,西北风,5级,-,-1℃
2019/1/7,20:00,,局部多云,1℃,18%,清风,西北风,5级,-,-2℃
2019/1/7,21:00,,晴朗,1℃,19%,清风,西北风,5级,-,-2℃
2019/1/7,22:00,,局部多云,1℃,19%,强风,西北风,6级,-,-3℃
2019/1/7,23:00,,晴朗,0℃,19%,强风,西北风,6级,-,-4℃
2019/1/8,0:00,,局部多云,0℃,22%,清风,北风,5级,-,-3℃
2019/1/8,1:00,,局部多云,0℃,22%,清风,北风,5级,-,-3℃
2019/1/8,2:00,,局部多云,0℃,23%,强风,北风,6级,-,-4℃
2019/1/8,3:00,,晴朗,-1℃,23%,强风,北风,6级,-,-4℃
2019/1/8,4:00,,局部多云,-1℃,23%,强风,北风,6级,-,-5℃
2019/1/8,5:00,,晴朗,-2℃,23%,强风,北风,6级,-,-6℃
2019/1/8,6:00,,晴朗,-2℃,24%,强风,北风,6级,-,-6℃
2019/1/8,7:00,,晴朗,-2℃,24%,清风,北风,5级,-,-6℃
2019/1/8,8:00,,晴朗,-2℃,25%,清风,北风,5级,-,-6℃
2019/1/8,9:00,,晴朗,-2℃,23%,强风,北风,6级,-,-6℃
2019/1/8,10:00,,晴朗,-1℃,21%,强风,北风,6级,-,-5℃
2019/1/8,11:00,,晴朗,-1℃,19%,强风,北风,6级,-,-5℃
2019/1/8,12:00,,晴朗,1℃,18%,强风,北风,6级,-,-3℃
2019/1/8,13:00,,晴朗,2℃,17%,清风,北风,5级,-,-1℃
2019/1/8,14:00,,晴朗,3℃,16%,清风,北风,5级,-,0℃
2019/1/8,15:00,,晴朗,4℃,16%,清风,西南风,5级,-,2℃
2019/1/8,16:00,,晴朗,4℃,16%,微风,东南风,3级,-,3℃
2019/1/8,17:00,,晴朗,4℃,17%,微风,北风,3级,-,4℃
2019/1/8,18:00,,局部多云,4℃,18%,微风,东风,3级,-,4℃
2019/1/8,19:00,,晴朗,4℃,19%,微风,东南风,3级,-,3℃
2019/1/8,20:00,,局部多云,3℃,20%,微风,西南风,3级,-,2℃
2019/1/8,21:00,,局部多云,2℃,21%,微风,西南风,3级,-,2℃
2019/1/8,22:00,,局部多云,1℃,22%,轻风,西南风,2级,-,1℃
2019/1/8,23:00,,局部多云,0℃,24%,轻风,西南风,2级,-,0℃
2019/1/9,0:00,,多云,-3℃,20%,软风,西南风,1级,-,-3℃
2019/1/9,1:00,,局部多云,-3℃,21%,软风,西南风,1级,-,-3℃
2019/1/9,2:00,,多云,-4℃,22%,软风,西南风,1级,-,-4℃
2019/1/9,3:00,,局部多云,-4℃,22%,软风,西南风,1级,-,-4℃
2019/1/9,4:00,,多云,-4℃,23%,软风,南风,1级,-,-4℃
2019/1/9,5:00,,局部多云,-4℃,24%,软风,南风,1级,-,-4℃
2019/1/9,6:00,,局部多云,-4℃,24%,软风,南风,1级,-,-4℃
2019/1/9,7:00,,局部多云,-5℃,24%,轻风,南风,2级,-,-5℃
2019/1/9,8:00,,局部多云,-5℃,25%,轻风,南风,2级,-,-5℃
2019/1/9,9:00,,局部多云,-4℃,23%,轻风,南风,2级,-,-5℃
2019/1/9,10:00,,局部多云,-3℃,21%,微风,南风,3级,-,-4℃
2019/1/9,11:00,,局部多云,-2℃,19%,微风,南风,3级,-,-4℃
2019/1/9,12:00,,局部多云,-1℃,18%,微风,南风,3级,-,-2℃
2019/1/9,13:00,,局部多云,1℃,17%,和风,南风,4级,-,-1℃
2019/1/9,14:00,,局部多云,2℃,16%,和风,南风,4级,-,0℃
2019/1/9,15:00,,局部多云,2℃,16%,微风,南风,3级,-,0℃
2019/1/9,16:00,,局部多云,1℃,17%,微风,南风,3级,-,0℃
2019/1/9,17:00,,局部多云,1℃,18%,微风,东南风,3级,-,0℃
2019/1/9,18:00,,局部多云,1℃,18%,轻风,东南风,2级,-,0℃
2019/1/9,19:00,,局部多云,1℃,18%,轻风,南风,2级,-,0℃
2019/1/9,20:00,,局部多云,0℃,19%,软风,南风,1级,-,0℃
2019/1/9,21:00,,局部多云,0℃,19%,软风,东南风,1级,-,0℃
2019/1/9,22:00,,局部多云,0℃,19%,软风,东南风,1级,-,0℃
2019/1/9,23:00,,局部多云,-1℃,19%,软风,东南风,1级,-,-1℃
2019/1/10,0:00,,局部多云,-1℃,19%,软风,南风,1级,-,-1℃
2019/1/10,1:00,,局部多云,-1℃,19%,软风,南风,1级,-,-1℃
2019/1/10,2:00,,局部多云,-2℃,20%,软风,南风,1级,-,-2℃
2019/1/10,3:00,,局部多云,-2℃,20%,软风,南风,1级,-,-2℃
2019/1/10,4:00,,局部多云,-2℃,21%,软风,西南风,1级,-,-2℃
2019/1/10,5:00,,局部多云,-2℃,21%,软风,西南风,1级,-,-2℃
2019/1/10,6:00,,晴朗,-1℃,22%,轻风,西南风,2级,-,-2℃
